U.S. monthly inflation rate November 2022,,
Monthly 12-month inflation rate in the United States from January 2020 to November 2022,,
,,
Jan '20,2.50,in %
Feb '20,2.30,in %
Mar '20,1.50,in %
Apr '20,0.30,in %
May '20,0.10,in %
Jun '20,0.60,in %
Jul '20,1,in %
Aug '20,1.30,in %
Sep '20,1.40,in %
Oct '20,1.20,in %
Nov '20,1.20,in %
Dec '20,1.40,in %
Jan '21,1.40,in %
Feb '21,1.70,in %
Mar '21,2.60,in %
Apr '21,4.20,in %
May '21,5,in %
Jun '21,5.40,in %
Jul '21,5.40,in %
Aug '21,5.30,in %
Sep '21,5.40,in %
Oct '21,6.20,in %
Nov '21,6.80,in %
Dec '21,7,in %
Jan '22,7.50,in %
Feb '22,7.90,in %
Mar '22,8.50,in %
Apr '22,8.30,in %
May '22,8.60,in %
Jun '22,9.10,in %
Jul '22,8.50,in %
Aug '22,8.30,in %
Sep '22,8.20,in %
Oct '22,7.70,in %
Nov '22,7.10,in %
